"id","district_id","case_id","date","total"
570,"3277",9,"2020-08-06",0
559,"3276",9,"2020-08-06",0
548,"3275",9,"2020-08-06",1
537,"3274",9,"2020-08-06",4
526,"3273",9,"2020-08-06",0
515,"3272",9,"2020-08-06",0
504,"3271",9,"2020-08-06",20
493,"3218",9,"2020-08-06",0
482,"3217",9,"2020-08-06",0
471,"3216",9,"2020-08-06",0
460,"3215",9,"2020-08-06",0
449,"3214",9,"2020-08-06",0
438,"3213",9,"2020-08-06",0
427,"3212",9,"2020-08-06",20
416,"3211",9,"2020-08-06",0
405,"3210",9,"2020-08-06",1
394,"3209",9,"2020-08-06",2
383,"3208",9,"2020-08-06",0
319,"3202",11,"2020-08-06",32
308,"3201",11,"2020-08-06",486
557,"3276",7,"2020-08-06",0
546,"3275",7,"2020-08-06",0
535,"3274",7,"2020-08-06",0
524,"3273",7,"2020-08-06",0
513,"3272",7,"2020-08-06",0
596,"3201",2,"2020-08-07",0
595,"3201",1,"2020-08-07",0
606,"3202",1,"2020-08-07",0
617,"3203",1,"2020-08-07",0
628,"3204",1,"2020-08-07",0
639,"3205",1,"2020-08-07",0
650,"3206",1,"2020-08-07",0
661,"3207",1,"2020-08-07",0
672,"3208",1,"2020-08-07",0
683,"3209",1,"2020-08-07",8
694,"3210",1,"2020-08-07",8
705,"3211",1,"2020-08-07",0
716,"3212",1,"2020-08-07",10
727,"3213",1,"2020-08-07",0
738,"3214",1,"2020-08-07",0
749,"3215",1,"2020-08-07",1
760,"3216",1,"2020-08-07",10
771,"3217",1,"2020-08-07",0
782,"3218",1,"2020-08-07",0
793,"3271",1,"2020-08-07",0
804,"3272",1,"2020-08-07",0
815,"3273",1,"2020-08-07",0
826,"3274",1,"2020-08-07",0
837,"3275",1,"2020-08-07",0
848,"3276",1,"2020-08-07",0
859,"3277",1,"2020-08-07",0
870,"3278",1,"2020-08-07",0
881,"3279",1,"2020-08-07",0
607,"3202",2,"2020-08-07",0
618,"3203",2,"2020-08-07",0
629,"3204",2,"2020-08-07",0
640,"3205",2,"2020-08-07",0
651,"3206",2,"2020-08-07",0
662,"3207",2,"2020-08-07",0
673,"3208",2,"2020-08-07",0
684,"3209",2,"2020-08-07",0
695,"3210",2,"2020-08-07",0
706,"3211",2,"2020-08-07",0
717,"3212",2,"2020-08-07",5
728,"3213",2,"2020-08-07",0
739,"3214",2,"2020-08-07",0
750,"3215",2,"2020-08-07",0
761,"3216",2,"2020-08-07",3
772,"3217",2,"2020-08-07",0
783,"3218",2,"2020-08-07",0
794,"3271",2,"2020-08-07",0
805,"3272",2,"2020-08-07",0
816,"3273",2,"2020-08-07",0
827,"3274",2,"2020-08-07",0
838,"3275",2,"2020-08-07",0
849,"3276",2,"2020-08-07",0
860,"3277",2,"2020-08-07",0
871,"3278",2,"2020-08-07",0
882,"3279",2,"2020-08-07",0
597,"3201",3,"2020-08-07",0
